Naomi Watts,https://www.imdb.com/name/nm0915208/?ref_=fn_al_nm_1
Cameron Diaz,https://www.imdb.com/name/nm0000139/?ref_=fn_al_nm_1
Matthew McConaughey,https://www.imdb.com/name/nm0000190/?ref_=fn_al_nm_1
Gérard Depardieu,https://www.imdb.com/name/nm0000367/?ref_=fn_al_nm_1
Jean-Claude Van Damme,https://www.imdb.com/name/nm0000241/?ref_=fn_al_nm_1
Kirsten Dunst,https://www.imdb.com/name/nm0000379/?ref_=fn_al_nm_1
Jet Li,https://www.imdb.com/name/nm0001472/?ref_=fn_al_nm_1
Sandra Bullock,https://www.imdb.com/name/nm0000113/?ref_=fn_al_nm_1
Ryan Reynolds,https://www.imdb.com/name/nm0005351/?ref_=fn_al_nm_1
Aamir Khan,https://www.imdb.com/name/nm0451148/?ref_=fn_al_nm_1
Meryl Streep,https://www.imdb.com/name/nm0000658/?ref_=fn_al_nm_1
Cate Blanchett,https://www.imdb.com/name/nm0000949/?ref_=fn_al_nm_1
Toni Collette,https://www.imdb.com/name/nm0001057/?ref_=fn_al_nm_1
Gary Oldman,https://www.imdb.com/name/nm0000198/?ref_=fn_al_nm_1
Alec Baldwin,https://www.imdb.com/name/nm0000285/?ref_=fn_al_nm_1
Ben Kingsley,https://www.imdb.com/name/nm0001426/?ref_=fn_al_nm_1
Ray Liotta,https://www.imdb.com/name/nm0000501/?ref_=fn_al_nm_1
Dolph Lundgren,https://www.imdb.com/name/nm0000185/?ref_=fn_al_nm_1
Al Pacino,https://www.imdb.com/name/nm0000199/?ref_=fn_al_nm_1
Charlize Theron,https://www.imdb.com/name/nm0000234/?ref_=fn_al_nm_1
George Clooney,https://www.imdb.com/name/nm0000123/?ref_=fn_al_nm_1
Tommy Lee Jones,https://www.imdb.com/name/nm0000169/?ref_=fn_al_nm_1
Scarlett Johansson,https://www.imdb.com/name/nm0424060/?ref_=fn_al_nm_1
Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=fn_al_nm_1
Kevin Spacey,https://www.imdb.com/name/nm0000228/?ref_=fn_al_nm_1
Adrien Brody,https://www.imdb.com/name/nm0004778/?ref_=fn_al_nm_1
Richard Gere,https://www.imdb.com/name/nm0000152/?ref_=fn_al_nm_1
Rachel Weisz,https://www.imdb.com/name/nm0001838/?ref_=fn_al_nm_1
Colin Farrell,https://www.imdb.com/name/nm0268199/?ref_=fn_al_nm_1
Susan Sarandon,https://www.imdb.com/name/nm0000215/?ref_=fn_al_nm_1
Ralph Fiennes,https://www.imdb.com/name/nm0000146/?ref_=fn_al_nm_1
Kiefer Sutherland,https://www.imdb.com/name/nm0000662/?ref_=fn_al_nm_1
John Malkovich,https://www.imdb.com/name/nm0000518/?ref_=fn_al_nm_1
Guy Pearce,https://www.imdb.com/name/nm0001602/?ref_=fn_al_nm_1
Jeff Bridges,https://www.imdb.com/name/nm0000313/?ref_=fn_al_nm_1
Jennifer Aniston,https://www.imdb.com/name/nm0000098/?ref_=fn_al_nm_1
Tim Roth,https://www.imdb.com/name/nm0000619/?ref_=fn_al_nm_1
Christian Slater,https://www.imdb.com/name/nm0000225/?ref_=fn_al_nm_1
Kate Beckinsale,https://www.imdb.com/name/nm0000295/?ref_=fn_al_nm_1
Billy Bob Thornton,https://www.imdb.com/name/nm0000671/?ref_=fn_al_nm_1
Wesley Snipes,https://www.imdb.com/name/nm0000648/?ref_=fn_al_nm_1
Eddie Murphy,https://www.imdb.com/name/nm0000552/?ref_=fn_al_nm_1
Michael Caine,https://www.imdb.com/name/nm0000323/?ref_=fn_al_nm_1
Sharon Stone,https://www.imdb.com/name/nm0000232/?ref_=fn_al_nm_1
Anil Kapoor,https://www.imdb.com/name/nm0438463/?ref_=fn_al_nm_1
