Actors,Counts
Josh Duhamel,16
Chiwetel Ejiofor,16
Isabelle Huppert,16
Andie MacDowell,16
Kyra Sedgwick,15
Joan Cusack,15
Jennifer Tilly,15
Mila Kunis,15
Catherine Zeta-Jones,15
Daniel Auteuil,15
Daryl Hannah,15
Timothy Hutton,15
Brad Dourif,15
Jonathan Rhys Meyers,15
John Abraham,15
Billy Crudup,15
David Morse,15
Nana Patekar,15
Tom Hardy,15
Jennifer Lawrence,15
Paul Bettany,15
Sean Connery,15
Hilary Swank,15
Amanda Seyfried,15
Liev Schreiber,15
Maggie Smith,15
Emily Mortimer,15
Michelle Rodriguez,15
Marlon Wayans,15
Tyler Perry,15
Rufus Sewell,15
Elle Fanning,15
Jim Belushi,15
Eva Mendes,15
Bruce Greenwood,15
Marcia Gay Harden,15
Ellen Burstyn,15
Jeremy Renner,15
Brendan Gleeson,15
Rishi Kapoor,15
Amy Smart,15
Alan Arkin,15
Laura Dern,15
Nia Long,15
Mira Sorvino,15
Dylan McDermott,15
Hope Davis,15
David Duchovny,15
Claire Danes,15
Yun-Fat Chow,15
Jack Nicholson,15
Michelle Yeoh,15
Jeff Fahey,15
Kevin James,15
Jason Sudeikis,15
Piper Perabo,15
Ray Winstone,15
Eric Bana,15
Heath Ledger,15
Edward Furlong,15
Nicholas Hoult,15
Kenneth Branagh,15
Rachael Leigh Cook,14
Angela Bassett,14
Matthew Goode,14
Sienna Miller,14
Noomi Rapace,14
Judy Davis,14
Jonathan Pryce,14
Chris Cooper,14
Albert Finney,14
Romain Duris,14
Minnie Driver,14
Zooey Deschanel,14
Eva Green,14
Lisa Kudrow,14
Anne Heche,14
Liv Tyler,14
Alessandro Nivola,14
Patrick Bergin,14
Courteney Cox,14
Thomas Kretschmann,14
Stephen Lang,14
Richard Jenkins,14
Sean Patrick Flanery,14
Helen Hunt,14
Rupert Everett,14
James Woods,14
Jamie Lee Curtis,14
Ranbir Kapoor,14
Olivia Wilde,14
Radha Mitchell,14
Hayden Christensen,14
Danny Dyer,14
Dougray Scott,14
Leelee Sobieski,14
Bryan Cranston,14
Timothy Spall,14
Michael Biehn,14
Sean Young,14
Don Cheadle,14
Josh Lucas,14
Leslie Nielsen,14
Natasha Henstridge,14
Anna Friel,14
Kristen Bell,14
Rob Schneider,14
Julia Stiles,14
Kevin Zegers,14
Martin Freeman,14
Juliette Lewis,14
Greta Scacchi,14
Thandie Newton,14
Simon Pegg,14
Joan Allen,14
Elias Koteas,14
Emma Watson,14
Dharmendra,14
Joe Pesci,14
Alicia Vikander,14
Richard Dreyfuss,14
Felicity Jones,14
Holly Hunter,14
Orlando Bloom,14
Sarah Michelle Gellar,14
Vanessa Redgrave,13
Masako Nozawa,13
Audrey Tautou,13
Lukas Haas,13
Abbie Cornish,13
C. Thomas Howell,13
Akshaye Khanna,13
Preity Zinta,13
Eric Roberts,13
Michael Ironside,13
Jesse Bradford,13
Zach Galifianakis,13
Jason Isaacs,13
Greta Gerwig,13
Cary Elwes,13
Chris ODonnell,13
Oscar Isaac,13
Tom Sizemore,13
Rhys Ifans,13
Martin Sheen,13
Jason Lee,13
Queen Latifah,13
Vincent Perez,13
Hilary Duff,13
Penelope Ann Miller,13
Julie Delpy,13
Danny Trejo,13
Ben Foster,13
Michael J. Fox,13
Lili Taylor,13
Abigail Breslin,13
Madeleine Stowe,13
Mandy Moore,13
Alicia Silverstone,13
Katie Holmes,13
Patrick Swayze,13
Clint Eastwood,13
Norman Reedus,13
Burt Reynolds,13
David Strathairn,13
Pooja Bhatt,13
Selma Blair,13
Jennifer Love Hewitt,13
Julian Sands,13
Campbell Scott,13
Gemma Arterton,13
Michael Angarano,13
Randy Quaid,13
Vinod Khanna,13
Rajinikanth,13
Kevin Hart,13
David Carradine,12
Alice Eve,12
Justin Timberlake,12
Linda Fiorentino,12
Sean Astin,12
Michael Sheen,12
Brenda Blethyn,12
Claire Forlani,12
Juno Temple,12
Jennifer Beals,12
Barbara Hershey,12
Gabrielle Union,12
Mischa Barton,12
Sonali Bendre,12
Hugo Weaving,12
Deepika Padukone,12
Mike Myers,12
Simon Yam,12
Gary Sinise,12
Malin Akerman,12
Armin Mueller-Stahl,12
Morris Chestnut,12
