India,Jawani Zindabad (1990)
Italy,Dimenticare Palermo (1990)
Australia,Heaven Tonight (1990)
Brazil,O Círculo de Fogo (1990)
USA,Enid Is Sleeping (1990)
India,Ghar Ho To Aisa (1990)
Canada,Vincent and Me (1990)
USA,Love or Money (1990)
USA,Deceit (1990)
Canada,Strangers in Good Company (1990)
UK,The Children (1990)
Israel,Torn Apart (1990)
India,Amba (1990)
Italy,Night Sun (1990)
India,Adisaya Piravi (1990)
Canada,Beautiful Dreamers (1990)
USA,Wishful Thinking (1990)
Italy,The Voyage of Captain Fracassa (1990)
Canada,Archangel (1990)
India,Jamai Raja (1990)
UK,Ladder of Swords (1990)
Norway,Døden på Oslo S (1990)
Philippines,Kahit konting pagtingin (1990)
USA,Omega Cop (1990)
USA,Kamillions (1990)
India,Roti Kee Keemat (1990)
Australia,...Almost (1990)
India,Mathilukal (1990)
USA,Pledge Night (1990)
Hong Kong,Zhi ming de you huo (1990)
USA,Modern Love (1990)
USA,Street Hunter (1990)
India,Shandaar (1990)
India,Panakkaran (1990)
Hong Kong,Mong foo sing lung (1990)
USA,The Silence of the Lambs (1991)
USA,Terminator 2 (1991)
Japan,Point Break (1991)
USA,Beauty and the Beast (1991)
USA,The Addams Family (1991)
USA,Robin Hood: Prince of Thieves (1991)
USA,Hook (1991)
USA,Cape Fear (1991)
USA,Thelma & Louise (1991)
USA,Boyz n the Hood (1991)
France,JFK (1991)
USA,Fried Green Tomatoes (1991)
USA,Career Opportunities (1991)
USA,My Girl (1991)
USA,Hot Shots! (1991)
USA,Deceived (1991)
USA,The Rocketeer (1991)
USA,The Doors (1991)
USA,Star Trek VI: The Undiscovered Country (1991)
USA,Harley Davidson and the Marlboro Man (1991)
USA,Double Impact (1991)
USA,My Own Private Idaho (1991)
USA,Return to the Blue Lagoon (1991)
USA,Father of the Bride (1991)
USA,What About Bob? (1991)
USA,The Last Boy Scout (1991)
USA,Nothing But Trouble (1991)
USA,The Man in the Moon (1991)
USA,Freddy's Dead: The Final Nightmare (1991)
USA,Drop Dead Fred (1991)
Canada,Naked Lunch (1991)
USA,Showdown in Little Tokyo (1991)
USA,City Slickers (1991)
USA,Backdraft (1991)
USA,Don't Tell Mom the Babysitter's Dead (1991)
USA,New Jack City (1991)
USA,The People Under the Stairs (1991)
USA,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991)
USA,Sleeping with the Enemy (1991)
USA,The Fisher King (1991)
USA,Bill & Ted's Bogus Journey (1991)
Ireland,The Commitments (1991)
UK,Highlander II: The Quickening (1991)
USA,Oscar (1991)
France,Delicatessen (1991)
USA,Necessary Roughness (1991)
UK,Child's Play 3 (1991)
USA,Barton Fink (1991)
France,La belle noiseuse (1991)
USA,Toy Soldiers (1991)
USA,Samurai Cop (1991)
USA,Jungle Fever (1991)
USA,Curly Sue (1991)
USA,The Prince of Tides (1991)
USA,White Fang (1991)
USA,Doc Hollywood (1991)
USA,Pretty Hattie's Baby (1991)
USA,Hudson Hawk (1991)
USA,Life Stinks (1991)
USA,Out for Justice (1991)
USA,The Naked Gun 2½: The Smell of Fear (1991)
USA,Problem Child 2 (1991)
USA,Soapdish (1991)
USA,An American Tail: Fievel Goes West (1991)
USA,Switch (1991)
USA,All I Want for Christmas (1991)
USA,Ricochet (1991)
USA,Not Without My Daughter (1991)
Hong Kong,Armour of God 2: Operation Condor (1991)
USA,L.A. Story (1991)
France,The Double Life of Veronique (1991)
USA,The Doctor (1991)
Ireland,Rock-A-Doodle (1991)
USA,Bugsy (1991)
Italy,Paprika (1991)
USA,The Five Heartbeats (1991)
France,Night on Earth (1991)
USA,Dead Again (1991)
USA,Kickboxer 2: The Road Back (1991)
USA,Wild Hearts Can't Be Broken (1991)
USA,Rush (1991)
USA,Regarding Henry (1991)
USA,If Looks Could Kill (1991)
Australia,Flirting (1991)
USA,Cool as Ice (1991)
USA,Stone Cold (1991)
Japan,Only Yesterday (1991)
USA,Critters 3 (1991)
USA,Dutch (1991)
USA,Flight of the Intruder (1991)
USA,"He Said, She Said (1991)"
USA,Little Man Tate (1991)
Taiwan,Gu ling jie shao nian sha ren shi jian (1991)
UK,A Kiss Before Dying (1991)
USA,Grand Canyon (1991)
China,Raise the Red Lantern (1991)
USA,Suburban Commando (1991)
USA,Whore (1991)
USA,The Indian Runner (1991)
USA,The Guyver (1991)
USA,Steel and Lace (1991)
Germany,Until the End of the World (1991)
USA,Mobsters (1991)
USA,Mystery Date (1991)
USA,Dying Young (1991)
